country,surface_area,population,population_density,gdp_gross_domestic_product,gdp_growth_rate,gdp_per_capita,trade_export,trade_import,co2_emission_estimates,energy_production_primary,capacity_mw,capacity_factor,generation,generation_biomass,generation_coal,generation_gas,generation_geothermal,generation_hydro,generation_nuclear,generation_oil,generation_solar,generation_waste,generation_wind,emission_per_capita,economy_agriculture,economy_industry,economy_services_and_other
bulgaria,111002.0,7085000,65.3,48953,3.0,6846.8,26088.0,28875.0,474,28611111.111111112,9252.2,12.72901797263206,44526.361,0.0,0.538141663990911,0.0,0.0,0.0972158492808339,0.34727493225866807,0.0,0.009822361185096624,0.0,0.007545193284490507,6.690190543401553e-05,0,0,1
burkina faso,272967.0,19193000,70.2,11065,4.1,611.1,2019.0,3699.0,123,2500000.0,229.30599999999998,1.1821726419561487,207.248,0.0,0.0,0.0,0.0,0.429388944646028,0.0,0.0,0.5706110553539722,0.0,0.0,6.408586463814933e-06,0,0,1
burundi,27830.0,10864000,423.1,2735,-4.1,244.6,123.0,625.0,56,1666666.6666666665,57.17,1.286798028586001,174.482,0.0,0.0,0.0,0.0,0.9018466088192478,0.0,0.0,0.09815339118075216,0.0,0.0,5.154639175257732e-06,0,0,1
cape verde,4033.0,546000,135.6,1603,1.5,3080.2,29.0,485.0,2,4722222.222222222,92.805,0.2510045662100457,10.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.663003663003663e-06,0,0,1
cambodia,181035.0,16005000,90.7,18050,7.0,1158.7,13204.0,15313.0,178,4722222.222222222,1517.6,2.142060739157367,1872.598,0.0,0.0,0.0,0.0,0.9507828161730387,0.0,0.027619382269979995,0.021597801556981266,0.0,0.0,1.112152452358638e-05,0,0,1
cameroon,475650.0,24054000,50.9,28416,5.8,1217.3,2130.0,4899.0,408,3888888.888888889,881.5799999999999,4.5254614877189425,3399.084,0.0,0.0,0.0,0.0,0.903179797851421,0.0,0.09682020214857885,0.0,0.0,0.0,1.6961835869294088e-05,0,0,1
canada,9984670.0,36624000,4.0,1552808,0.9,43205.6,388911.0,402954.0,19276,90000000.0,143578.7,376.13750615831566,621535.61,0.0,0.10368591752932708,0.11116270554473943,0.0,0.57039786666447,0.1597116696177714,0.0053064698899553,0.004219153267823223,0.0,0.0452909206602016,0.0005263215377894277,0,0,1
central african republic,622984.0,4659000,7.5,1633,4.8,333.2,213.0,147.0,19,1388888.8888888888,33.664,0.40959850474365345,69.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.078128353723975e-06,0,0,1
chile,756102.0,18055000,24.3,240796,2.3,13416.2,59884.0,58804.0,540,23611111.111111112,22475.648667,79.45192733750254,70494.392,0.0,0.378727714964901,0.16966328328642083,0.0,0.25577674320533184,0.0,0.024320658017732814,0.13618368394467462,0.0,0.035327916580938805,2.9908612572694544e-05,0,0,1
china,9600000.0,1409517000,150.1,11158457,6.9,8109.1,2118981.0,1588696.0,101394,24166666.666666668,1415067.38,1396.0128476300572,6177620.562,0.0,0.7538361013374263,0.029323974851144317,1.857349425210619e-05,0.14708001549804475,0.0399172201538007,0.0002619099026496668,0.014246602412160258,0.0,0.015315602350521961,7.193527995760249e-05,0,0,1
colombia,1141748.0,49066000,44.2,292080,3.1,6056.1,31045.0,44831.0,5380,8611111.11111111,10924.0,9.342431600070379,38399.53,0.0,0.07563295696587953,0.21565758747568003,0.0,0.6834689903756634,0.0,0.0200695164758527,0.005170948706924277,0.0,0.0,0.00010964822891615375,0,0,1
congo,342000.0,5261000,15.4,8493,1.2,1838.1,2540.0,9793.0,648,6666666.666666666,625.9,3.492524730005339,2975.9719999999998,0.0,0.0,0.719939569323905,0.0,0.24507018211192846,0.0,0.0349902485641666,0.0,0.0,0.0,0.00012317049990496104,0,1,0
costa rica,51100.0,4906000,96.1,52958,3.7,11015.0,9908.0,15322.0,110,12222222.222222222,1968.4,10.041003425187395,5372.476000000001,0.0,0.0,0.0,0.19391245302910612,0.7987933310451268,0.0,0.005528177324570644,0.0017660386011961707,0.0,0.0,2.242152466367713e-05,0,0,1
croatia,56594.0,4189000,74.9,48676,1.6,11479.4,13648.0,21830.0,182,21944444.444444444,3274.5,10.161398832482512,10634.848,0.0,0.12662052151568126,0.33203859613226255,0.0,0.5234666259451944,0.0,0.017874256406861667,0.0,0.0,0.0,4.344712341847696e-05,0,0,1
cuba,109884.0,11485000,107.9,87206,4.4,7656.6,18000.0,4911.0,212,13055555.555555556,3796.8,3.969503940828597,10809.218,0.0,0.0,0.0,0.0,0.0,0.0,0.9964652392060184,0.0016715362757971943,0.0,0.0018632245181843866,1.8458859381802352e-05,0,0,1
cyprus,9251.0,1180000,127.7,19561,1.7,21941.9,1920.0,6604.0,5,20000000.0,1468.0,0.5948162171360505,1563.18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.23728813559322e-06,0,0,1
czech republic,78868.0,10618000,137.5,185156,4.5,17561.7,161248.0,140316.0,1221,45555555.55555555,16871.7,81.3912213878835,66562.18466666667,0.0,0.5156114667590488,0.046651713965678424,0.0,0.04036623817946199,0.37228101998294794,0.0,0.025089561112862913,0.0,0.0,0.00011499340742135996,0,0,1
north korea,120538.0,25491000,211.7,16283,-1.1,648.0,1010.0,2757.0,871,5555555.555555555,9208.0,6.082083481803959,13932.596,0.0,0.26998414365851137,0.0,0.0,0.7300158563414887,0.0,0.0,0.0,0.0,0.0,3.416892236475619e-05,0,1,0
democratic republic of the congo,2344858.0,81340000,35.9,37569,7.0,486.2,5103.0,5906.0,1179,4444444.444444444,3057.04,4.688095499885695,10052.039999999999,0.0,0.0,0.00034221909184603327,0.0,0.9994508577363402,0.0,0.00020692317181388058,0.0,0.0,0.0,1.449471354806983e-05,0,1,0
denmark,42921.0,5734000,135.1,301308,1.6,53149.3,94355.0,85133.0,666,33055555.555555556,8085.2,11.199715540594529,16013.3668,0.0,0.6117698288573934,0.038649502905701676,0.0,0.0,0.0,0.0006726047558385202,0.02247616035373648,0.0,0.32643190312732984,0.00011614928496686432,0,0,1
dominican republic,48671.0,10767000,222.8,67103,7.0,6373.6,3747.0,22725.0,28,7777777.777777778,1858.09,3.920515361714054,3877.018,0.0,0.0,0.0,0.0,0.14713008812442965,0.0,0.7465712049827987,0.06751374381032019,0.0,0.038784963082451517,2.60053868301291e-06,0,0,1
ecuador,257217.0,16625000,66.9,100177,0.2,6205.1,16798.0,16189.0,1247,11666666.666666666,4245.48,8.25752694039256,15966.623000000001,0.0,0.0,0.12310806110972869,0.0,0.7843022284674723,0.0,0.08614877422733662,0.006440936195462246,0.0,0.0,7.500751879699248e-05,0,0,1
egypt,1002000.0,97553000,98.0,315917,4.2,3452.3,22507.0,58053.0,3509,10000000.0,34183.5,24.950352938806876,145031.832,0.0,0.0,0.86810442413773,0.0,0.0841677294678316,0.0,0.025470270554122217,0.012133832798857566,0.0,0.01012374304145865,3.597019056307853e-05,0,0,1
el salvador,21041.0,6378000,307.8,25850,2.5,4219.4,5335.0,9855.0,86,7777777.777777778,1418.5,5.480351283930635,4347.966,0.0,0.0,0.0,0.3600787126670264,0.2974402283734509,0.0,0.19245550678179174,0.15002555217773092,0.0,0.0,1.3483850736908122e-05,0,0,1
equatorial guinea,28052.0,1268000,45.2,13812,-7.4,16344.1,7443.0,5456.0,841,24166666.666666668,150.5,0.20102359208523596,211.31599999999997,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0006632492113564669,0,1,0
eritrea,117600.0,5069000,50.2,4783,4.8,914.9,16.0,3325.0,27,1944444.4444444445,133.19,0.4485025541601668,261.65,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.326494377589268e-06,0,0,1
